uniqueIDs	GSM1015207	GSM1015208	GSM1015209	GSM1015210	GSM1015211	GSM1015212	GSM1015213	GSM1015214	GSM1015215	GSM1015216	GSM1015217	GSM1015218	GSM1015219	GSM1015220	GSM1015221	GSM1015222	GSM1015223	GSM1015224	GSM1015225	GSM1015226	GSM1015227	GSM1015228	GSM1015229	GSM1015230	GSM1015231	GSM1015232
NUDT18	7.2412596	7.270551	7.30238	7.353135	6.985995	7.1481957	7.3144464	7.437303	7.142868	7.3453965	7.3509617	7.280784	7.6089134	7.4373407	7.4701447	7.156278	7.2531695	7.4744854	7.1342773	7.2310033	7.4385195	7.5328608	7.3293066	7.3655796	7.423696	7.3067203
NUDT19	9.859126	10.022186	10.029808	10.147762	9.852689	9.61383	10.054463	10.144715	10.156781	10.183085	10.09321	9.800137	10.234778	10.108402	10.167346	9.939005	9.711972	9.972578	9.769938	9.780336	10.171804	10.105847	10.101012	10.204341	10.166089	10.184811
NUDT2	9.089993	9.105644	9.032413	8.985875	8.82901	9.230472	9.090034	9.274838	9.106301	9.239562	9.182285	9.418519	9.284485	9.114314	9.165594	8.692404	8.772798	9.0399685	8.945087	8.997035	9.242863	9.075896	9.17605	9.185693	9.096455	9.027266
NUDT21	11.992051	12.173718	12.138202	11.963749	12.025084	11.771218	12.236472	12.387309	12.233907	12.129262	12.173407	12.216971	12.3216505	12.23477	12.294973	11.8612385	11.868109	12.088384	11.996284	12.008259	12.191791	12.110086	12.133674	12.154159	12.241127	12.3126335
NUDT22	8.537186	8.536327	8.602153	8.572429	8.361656	8.642075	8.576424	8.464882	8.260668	8.597078	8.306866	8.583977	8.595516	8.620506	8.687555	8.199477	8.359338	8.494094	8.298807	8.217817	8.607846	8.4288	8.582569	8.531038	8.531908	8.384697
NUDT3	8.929299	9.30013	8.891573	9.712695	8.702062	8.819595	8.704633	8.932629	9.625409	9.68285	9.48003	10.001601	9.470324	9.158441	9.528365	8.799864	8.19672	8.586405	9.00258	8.341354	9.383845	9.05706	9.370047	9.174896	9.007941	9.578158
NUDT4	11.972101	12.173153	12.1968355	12.049477	12.107583	12.08059	12.107565	12.299229	11.998934	12.066492	12.178138	12.122814	12.186224	12.205224	12.193825	12.230384	12.0676565	12.012968	12.105115	12.204507	12.063658	12.155028	12.025054	11.942133	12.158376	12.20247
NUDT5	9.566205	9.630911	9.550945	9.489886	9.367492	9.2532425	9.466208	9.433093	9.428113	9.460221	9.450452	9.601332	9.494687	9.634914	9.537355	9.362322	9.202629	9.4169445	9.32399	9.286329	9.438962	9.439419	9.423925	9.568099	9.534571	9.584551
NUDT6	8.7646885	8.601947	8.687555	8.668685	8.865394	8.867003	8.670291	8.577577	8.440571	8.5618515	8.561355	8.537491	8.470364	8.590094	8.453257	9.053043	8.909291	8.625557	8.6904955	8.642766	8.558359	8.539521	8.428772	8.569445	8.532003	8.43878
NUDT7	9.816841	9.548979	9.653028	9.403238	9.455694	9.657037	9.436629	9.506948	9.48747	9.504274	9.586228	9.75079	9.580789	9.492504	9.52204	9.489813	9.600824	9.565386	9.786898	9.565896	9.616366	9.397715	9.531614	9.742637	9.478458	9.479416
NUDT8	7.4835405	7.7235775	7.4589386	7.2505703	7.238604	7.200173	7.2422013	7.1594696	7.4221506	7.3023744	7.6754766	7.7334595	7.513262	7.6257195	7.678989	7.1606545	7.318527	7.7687044	7.6325035	7.5286703	7.5592737	7.8845334	7.5608926	7.438301	7.6810193	7.3710446
NUDT9	10.058	10.039547	10.197686	10.194145	9.927166	9.750189	10.061744	10.119017	10.180235	10.252054	10.047923	9.519704	10.170421	10.013438	10.124057	9.875977	9.863959	10.051919	9.844503	9.942031	10.279974	10.356582	9.986374	10.16064	10.196044	10.321575
NUF2	8.594173	8.634251	8.622303	8.679649	8.749299	8.71692	8.647335	8.707373	8.669428	8.5408945	8.562954	8.477441	8.655037	8.466218	8.530983	8.814408	8.765399	8.695336	8.723621	8.703074	8.450351	8.618628	8.536663	8.614935	8.642799	8.600813
NUFIP1	8.794354	8.651552	8.616977	8.726179	8.983732	9.1559725	8.651287	8.50638	8.574838	8.552581	8.622301	8.621933	8.438941	8.506387	8.533656	9.192496	9.115376	8.851773	9.128162	9.121865	8.59856	8.775092	8.594353	8.612496	8.5236225	8.641826
NUFIP2	10.575513	10.60955	10.549394	10.52317	10.8423605	10.818801	10.464009	10.317925	10.506439	10.36271	10.77597	10.858737	10.399573	10.689831	10.667423	10.803333	10.87104	10.5561	10.841432	10.910232	10.375124	10.570438	10.620602	10.3874655	10.484792	10.381702
NUMA1	10.582397	10.540754	10.525465	10.590848	10.415277	10.436688	10.629395	10.478751	10.517604	10.610373	10.543216	10.401881	10.703336	10.574989	10.623189	10.529138	10.385235	10.644958	10.46319	10.51719	10.705106	10.691244	10.559469	10.570111	10.575267	10.650904
NUMB	10.30612	9.922133	9.924034	10.017511	9.918719	10.148491	10.072807	10.07896	10.0035515	10.14035	10.121781	10.470169	10.157268	10.091536	10.118222	9.9871025	9.985072	10.043785	10.301123	10.07215	10.080492	10.081142	10.146812	10.259561	9.981427	10.148258
NUMBL	11.498127	11.525068	11.588056	11.60385	11.575343	11.573702	11.754756	11.872849	11.711039	11.699513	11.636353	11.72461	11.675894	11.581987	11.671713	11.515385	11.48695	11.607185	11.589934	11.564503	11.74674	11.6614275	11.638551	11.642283	11.59358	11.707297
NUP107	7.39606	7.2405114	7.0937843	7.1622505	7.348422	7.1917253	7.275572	7.1723843	7.3774137	7.226595	7.42214	7.307347	7.59589	7.3447814	7.4400215	7.165357	7.076987	7.397899	7.0413284	7.209949	7.366963	7.4349575	7.2538996	7.385473	7.4432044	7.3130813
NUP133	9.358821	9.332686	9.359794	9.357288	9.076434	8.885216	9.445822	9.380164	9.511651	9.559167	9.566841	9.443186	9.538101	9.469603	9.573189	9.0040245	8.910726	9.309856	9.26571	9.30968	9.561874	9.5851755	9.460274	9.50298	9.517374	9.576492
NUP153	10.864942	10.944021	10.891858	10.91946	10.731622	10.668018	11.020231	10.967558	10.933046	11.012619	11.049721	11.185285	11.177941	11.020641	11.069764	10.63073	10.51449	10.908053	10.670316	10.737181	10.995506	11.0253	10.885607	11.050989	11.0096445	11.129892
NUP155	9.66406	9.71726	9.685725	9.6524515	9.55661	9.478275	9.741386	9.719859	9.726629	9.802645	9.724342	9.790632	10.051828	9.835004	9.860502	9.377773	9.34819	9.758163	9.592358	9.555289	9.9108095	9.922814	9.824815	9.827343	9.801019	9.820674
NUP160	10.18323	10.200536	10.086785	10.173609	9.946324	9.79226	10.275281	10.146418	10.194511	10.203743	10.272449	10.384843	10.387818	10.283444	10.21755	9.959381	9.84313	10.18038	10.020305	10.037866	10.208852	10.12583	10.127266	10.257734	10.222667	10.234681
NUP188	8.86435	8.933259	8.926769	8.857157	8.784697	8.693416	8.806273	8.856931	8.945648	9.00409	8.919125	8.874668	9.068802	8.942093	9.006178	8.685318	8.622667	8.908542	8.744216	8.761689	9.04207	9.095702	8.934113	8.965033	9.012643	9.064997
NUP205	9.782965	9.813052	9.753798	9.653375	9.522759	9.34388	9.67008	9.7718	9.932935	9.775489	9.857953	9.84081	9.813137	9.858549	9.864923	9.513819	9.353208	9.736036	9.654851	9.628236	9.821331	9.924865	9.821955	9.826777	9.860067	10.024904
NUP210	10.733583	10.920231	10.7770195	10.86176	10.539056	10.361785	10.986171	11.106631	10.99223	11.093263	10.931729	10.811833	11.189319	10.999328	11.147552	10.1036005	10.037422	10.851331	10.45263	10.603564	11.152366	11.168289	10.969425	10.938751	11.081335	11.161891
NUP210L	6.694956	6.842885	6.8633556	6.7003794	6.8878245	7.189535	6.7645802	7.148161	7.0199842	6.964361	6.9108157	6.8436403	6.936756	6.7497787	6.7222905	6.899446	7.035481	6.814492	6.9711313	6.9639792	6.8525243	7.0202913	7.0384436	6.837344	6.817119	6.9417677
NUP214	9.679691	9.705255	9.650807	9.708077	9.571373	9.55979	9.767934	9.7614765	9.650847	9.670808	9.675323	9.691857	9.798159	9.738805	9.725622	9.580829	9.510031	9.74781	9.561145	9.545834	9.714196	9.68555	9.684646	9.771611	9.709338	9.721581
NUP35	6.4817944	6.403394	6.2777195	6.1637263	6.1760225	6.0146413	6.1776533	6.013313	6.4175625	6.3381195	6.1587467	6.325798	6.296672	6.164509	6.110678	6.0890503	6.0361056	6.063964	6.250528	5.9450703	6.444845	6.2546024	6.34624	6.3970513	6.1889873	6.2399383
NUP37	5.8985457	6.081168	5.87615	5.939007	6.2651305	6.296168	5.8886833	6.039791	5.9557686	5.6300435	5.839678	6.1333137	5.726871	5.93636	5.9340878	5.949332	6.422929	5.961945	5.9574585	5.928316	5.564156	5.8164873	5.880877	5.4411387	5.7515883	5.45853
NUP43	8.258769	8.3098755	8.369931	8.360266	8.142975	7.9537416	8.222801	8.195022	8.435299	8.285588	8.275667	8.330547	8.382027	8.433853	8.4174595	7.901503	7.917193	8.248804	8.00046	8.064193	8.444197	8.46012	8.347715	8.493947	8.388072	8.356604
NUP50	9.316566	9.443144	9.500673	9.467649	9.251678	9.063281	9.454949	9.395266	9.404523	9.394486	9.450001	9.37886	9.510953	9.518844	9.631555	9.1119175	9.101559	9.442505	9.240389	9.351698	9.699863	9.706886	9.5286455	9.480599	9.573255	9.506049
NUP54	9.985775	10.197843	10.052796	10.015704	9.986492	9.985244	10.0029125	10.1379175	10.171989	10.068748	10.331271	10.370132	9.999295	10.13658	10.118212	9.846696	9.872357	10.000111	10.075259	10.159769	10.051272	10.108474	10.066968	10.042024	10.067452	10.07808
NUP58	11.01967	11.086614	11.152186	11.042031	11.164015	11.157081	11.150517	11.167057	11.127453	11.133321	11.153862	11.210957	11.375647	11.198264	11.145068	11.147958	11.067663	11.09424	11.2070265	11.192191	11.36138	11.172686	11.140864	11.158557	11.164275	11.170135
NUP62	10.986944	11.071258	11.142145	11.105076	11.074271	10.990603	11.32033	11.310019	11.195956	11.20058	11.070498	11.074263	11.414403	11.20008	11.3508	10.952742	10.932345	11.109678	10.923831	10.925688	11.362265	11.250485	11.170714	11.183034	11.191285	11.264966
NUP85	10.22044	10.36239	10.457426	10.352218	10.212776	10.018922	10.411004	10.491579	10.500025	10.507141	10.314247	10.157838	10.66067	10.460846	10.612525	10.001468	10.070729	10.259292	10.05928	10.1297	10.624507	10.624481	10.499026	10.409898	10.51862	10.603029
NUP88	7.0069966	6.642385	6.581206	6.714144	6.8354464	7.1469345	6.9563475	6.41349	6.6748085	6.82731	6.7363143	6.5636525	6.7226033	6.397309	6.8960176	6.9796524	6.8234015	6.9128976	7.12366	7.0608253	6.874759	6.6759753	6.6888204	7.420268	6.709475	6.704903
NUP93	8.603261	8.518697	8.396597	8.381379	8.163975	8.270242	8.33331	8.595425	8.56213	8.5516815	8.690885	8.577749	8.5654125	8.40666	8.449504	8.346555	8.2422	8.479685	8.596724	8.526487	8.523903	8.390351	8.25198	8.495223	8.553235	8.4316845
NUP98	10.159295	10.149097	10.15305	10.187728	10.180284	10.106126	10.189239	10.183374	10.158163	10.1745205	10.276741	10.351339	10.291042	10.258757	10.318148	10.1174135	10.145947	10.237018	10.249374	10.24811	10.295809	10.364923	10.181705	10.270993	10.230283	10.263366
NUPL2	7.811354	7.837111	7.981246	7.8569274	7.571645	7.2748327	7.846993	7.8994007	7.959427	8.181347	7.6227555	7.481778	8.221549	7.745376	8.04651	7.50864	7.583677	7.873952	7.434684	7.5536766	8.140604	7.9512477	7.8856373	7.8889656	8.161989	7.99313
NUPR1	11.766377	11.27728	11.409708	11.470794	12.168323	12.499937	11.176351	11.061575	11.367926	10.830947	11.164142	10.932386	10.373784	10.544655	10.748406	12.478364	12.892952	12.014153	12.497627	12.585297	11.17487	11.219941	11.225071	11.584031	11.186211	11.310294
NUPR2	8.639235	8.803734	8.574516	8.366835	8.688217	8.78325	8.340815	8.114646	8.345528	8.683837	8.654411	8.518661	8.636123	8.666965	8.700986	8.8273945	8.707494	8.512973	8.414417	8.434764	8.492072	8.513073	8.818556	8.718677	8.698838	8.293526
NUS1	10.588111	10.283907	10.389227	10.40928	10.746425	10.830468	10.349871	10.269334	10.352513	10.267615	10.536688	10.444222	10.461227	10.450604	10.354573	11.048564	10.853954	10.569686	10.957244	10.829481	10.488555	10.475409	10.489195	10.477023	10.411551	10.316748
NUSAP1	11.424137	11.738119	11.691135	11.627392	11.209016	10.753431	11.616349	11.935084	11.766187	11.8517475	11.78625	11.705171	12.047239	11.744512	11.967888	10.836317	10.855653	11.583783	11.264782	11.39525	11.961764	11.864997	11.710286	11.59157	11.878116	11.940911
NUTM1	11.009741	10.68955	10.688884	9.959316	9.77526	10.757942	9.788838	9.413717	9.484632	9.443396	9.815065	10.506261	8.995595	10.335945	9.042401	9.599296	9.626081	9.463996	9.12308	9.825434	9.2479105	9.391538	9.488422	8.9633045	9.361172	9.327139
NVL	8.582583	8.547706	8.434325	8.45287	8.464038	8.4168625	8.375359	8.394754	8.549766	8.291549	8.528661	8.502866	8.473407	8.518027	8.474796	8.543191	8.470357	8.438395	8.591003	8.545032	8.443619	8.610952	8.451834	8.526462	8.456275	8.466161
NWD1	10.360501	9.610264	9.9274645	10.007782	10.369506	10.419362	9.782704	9.350686	9.872536	9.634462	9.883929	9.6287775	8.959154	9.323073	9.419191	10.723516	10.903782	10.454987	10.887216	10.518578	9.996468	10.118065	9.907115	9.901493	9.8293295	9.973542
NWD2	8.44281	8.324864	8.366995	8.442792	8.259928	8.108585	8.337142	8.244957	8.356634	8.379332	8.339578	8.387274	8.313006	8.422565	8.317019	8.559378	8.102203	8.363821	8.372733	8.219917	8.331413	8.40414	8.379596	8.4797735	8.405273	8.409076
NXF1	10.652238	10.705869	10.720598	10.667395	10.774857	10.797735	10.762498	10.875117	10.829754	10.736215	10.698108	10.52925	10.818301	10.588813	10.728171	10.803653	10.73036	10.700096	10.675255	10.681575	10.838679	10.874635	10.739664	10.709984	10.772305	10.829758
NXF3	9.493181	9.578661	9.749759	9.685304	9.748675	9.663505	9.641276	9.762034	9.685404	9.768383	9.508416	9.492121	9.701317	9.667911	9.664724	9.793229	9.816104	9.8217745	9.638576	9.716217	9.743685	9.643947	9.62553	9.6217985	9.676114	9.717558
NXN	9.343132	9.231078	9.262368	9.268301	9.258832	9.400581	9.28074	9.271199	9.224535	9.334352	9.160529	9.594161	9.287432	9.305989	9.181747	9.237296	9.206685	9.226776	9.293128	9.123363	9.17533	9.158162	9.300441	9.325072	9.2474785	9.183741
NXNL1	8.276945	8.160542	8.09122	8.140617	8.181618	8.326674	8.341509	8.322831	7.907904	8.222532	8.201548	8.4952	8.545815	8.561168	8.520093	8.00513	8.126491	8.257481	8.087217	8.137446	8.296984	8.290775	8.279389	8.551194	8.290971	8.2085
NXNL2	8.887392	8.996516	9.105014	8.978203	9.048777	9.350457	9.093489	8.980777	8.66187	8.780068	8.709499	8.877527	8.77568	8.9110365	8.937332	8.811585	9.390689	9.040548	8.919343	9.2283535	8.911677	8.975769	8.918695	8.678232	8.93177	8.665704
NXPE2	10.506726	10.871005	10.901283	10.850571	10.431907	9.482214	10.71197	10.781988	10.865497	11.134268	10.807044	10.548086	11.275403	11.028747	11.179601	9.868287	9.791735	10.707378	10.15301	10.538117	10.970441	11.099899	10.788611	10.686112	11.136941	11.120921
